,Ind,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Asset Volume,Ignore
2021-04-03 11:27:39.672762272,2781,1617465600000.0,0.035202,0.035772,0.034585,0.03576,55747.43,1617479999999.0,1959.71072029,73380.0,28088.071,987.5577797,0.0
2021-04-03 15:27:45.447545720,2782,1617480000000.0,0.03576,0.035792,0.035055,0.035209,42867.713,1617494399999.0,1518.49251891,59937.0,20935.376,741.76501266,0.0
2021-04-03 19:27:51.222329160,2783,1617494400000.0,0.035204,0.035523,0.034919,0.035058,43007.857,1617508799999.0,1514.11041221,46431.0,21051.485,741.04215124,0.0
2021-04-03 23:27:56.997112608,2784,1617508800000.0,0.035054,0.035344,0.034927,0.035315,24836.167,1617523199999.0,871.7991921,29638.0,12323.871,432.60096803,0.0
2021-04-04 03:28:02.771896056,2785,1617523200000.0,0.035316,0.03575,0.035272,0.035674,34905.881,1617537599999.0,1241.20782564,38786.0,16407.537,583.48778184,0.0
2021-04-04 07:28:08.546679504,2786,1617537600000.0,0.035674,0.035961,0.035554,0.035856,33977.642,1617551999999.0,1216.28573595,43960.0,16977.192,607.71881507,0.0
2021-04-04 11:28:14.321462944,2787,1617552000000.0,0.035856,0.035947,0.035533,0.035567,28868.067,1617566399999.0,1031.05140836,37640.0,15323.936,547.27090286,0.0
2021-04-04 15:28:20.096246392,2788,1617566400000.0,0.035567,0.03577,0.035455,0.035669,20963.246,1617580799999.0,746.03876965,32955.0,10933.496,389.11575796,0.0
2021-04-04 19:28:25.871029840,2789,1617580800000.0,0.035668,0.035721,0.035263,0.035301,28314.028,1617595199999.0,1005.94116841,38968.0,12989.305,461.53440381,0.0
2021-04-04 23:28:31.645813280,2790,1617595200000.0,0.035299,0.035475,0.03521,0.035431,33301.96,1617609599999.0,1176.85962755,43163.0,16423.446,580.38817568,0.0
2021-04-05 03:28:37.420596728,2791,1617609600000.0,0.035431,0.035666,0.03536,0.035618,30793.545,1617623999999.0,1093.02302555,42194.0,14820.691,526.04611905,0.0
2021-04-05 07:28:43.195380176,2792,1617624000000.0,0.035617,0.036102,0.035521,0.035801,57918.55,1617638399999.0,2070.25062301,72066.0,27426.481,980.51147161,0.0
2021-04-05 11:28:48.970163616,2793,1617638400000.0,0.035803,0.035867,0.035584,0.035669,41457.834,1617652799999.0,1480.94917077,54910.0,19469.564,695.49978698,0.0
2021-04-05 15:28:54.744947064,2794,1617652800000.0,0.035668,0.036105,0.035599,0.035637,38507.791,1617667199999.0,1380.86996222,60726.0,19308.818,692.39866968,0.0
2021-04-05 19:29:00.519730512,2795,1617667200000.0,0.035641,0.036306,0.035608,0.036071,38596.284,1617681599999.0,1391.19185575,53161.0,17807.316,641.83675019,0.0
2021-04-05 23:29:06.294513960,2796,1617681600000.0,0.03607,0.036283,0.0358,0.035837,34271.419,1617695999999.0,1237.39578154,41843.0,15970.725,576.81513646,0.0
2021-04-06 03:29:12.069297400,2797,1617696000000.0,0.035837,0.036286,0.035643,0.036103,44776.206,1617710399999.0,1612.43848123,63288.0,22064.134,794.54957952,0.0
2021-04-06 07:29:17.844080848,2798,1617710400000.0,0.036103,0.03619,0.035608,0.036056,45735.338,1617724799999.0,1645.1793293,63297.0,22784.813,819.71423824,0.0
2021-04-06 11:29:23.618864296,2799,1617724800000.0,0.036058,0.036562,0.03595,0.0363,42737.59,1617739199999.0,1551.53759036,58797.0,20611.699,748.1932505,0.0
2021-04-06 15:29:29.393647736,2800,1617739200000.0,0.0363,0.036605,0.036175,0.036415,29105.849,1617753599999.0,1060.4289021,46209.0,13881.145,505.78841508,0.0
2021-04-06 19:29:35.168431184,2801,1617753600000.0,0.036419,0.036591,0.036157,0.036349,26887.368,1617767999999.0,979.38649866,40319.0,13597.599,495.35241863,0.0
2021-04-06 23:29:40.943214632,2802,1617768000000.0,0.036347,0.036492,0.0358,0.03587,42347.243,1617782399999.0,1529.04890783,58229.0,20281.401,732.29938098,0.0
2021-04-07 03:29:46.717998072,2803,1617782400000.0,0.035869,0.03587,0.034981,0.035121,59335.318,1617796799999.0,2105.02190913,78362.0,27961.098,992.08012555,0.0
2021-04-07 07:29:52.492781520,2804,1617796800000.0,0.035121,0.035405,0.034708,0.035022,53050.271,1617811199999.0,1864.75554861,74625.0,24577.062,864.0291529,0.0
2021-04-07 11:29:58.267564968,2805,1617811200000.0,0.035021,0.03538,0.034838,0.035321,39220.25,1617825599999.0,1379.33668565,60497.0,19379.125,681.53540292,0.0
2021-04-07 15:30:04.042348416,2806,1617825600000.0,0.035319,0.035642,0.035014,0.035094,28121.148,1617839999999.0,995.39230442,48093.0,12341.097,436.96881938,0.0
2021-04-07 19:30:09.817131856,2807,1617840000000.0,0.03508,0.035333,0.03497,0.035319,27139.398,1617854399999.0,956.04357922,36472.0,13144.865,463.05423374,0.0
2021-04-07 23:30:15.591915304,2808,1617854400000.0,0.035321,0.03565,0.035257,0.035545,29530.305,1617868799999.0,1045.0927599,37222.0,14299.985,506.08897376,0.0
2021-04-08 03:30:21.366698752,2809,1617868800000.0,0.035558,0.035639,0.035141,0.035393,32921.032,1617883199999.0,1163.91596436,40600.0,15540.729,549.47976837,0.0
2021-04-08 07:30:27.141482192,2810,1617883200000.0,0.035394,0.035664,0.035283,0.035653,38126.428,1617897599999.0,1350.08756376,42740.0,18052.761,639.24171127,0.0
2021-04-08 11:30:32.916265640,2811,1617897600000.0,0.035653,0.03593,0.035593,0.035634,34798.949,1617911999999.0,1244.33233024,42052.0,17317.654,619.18632508,0.0
2021-04-08 15:30:38.691049088,2812,1617912000000.0,0.035635,0.035916,0.035514,0.035816,24245.505,1617926399999.0,866.40095505,33951.0,11484.866,410.3062709,0.0
2021-04-08 19:30:44.465832536,2813,1617926400000.0,0.035824,0.035978,0.035666,0.035741,23850.483,1617940799999.0,854.80725919,27807.0,12623.521,452.37046421,0.0
2021-04-08 23:30:50.240615976,2814,1617940800000.0,0.035742,0.035866,0.035639,0.035789,23781.136,1617955199999.0,850.68929618,27359.0,12236.787,437.73224765,0.0
2021-04-09 03:30:56.015399424,2815,1617955200000.0,0.035789,0.035968,0.035458,0.035605,35018.622,1617969599999.0,1250.71765364,44127.0,18790.747,670.97895066,0.0
2021-04-09 07:31:01.790182872,2816,1617969600000.0,0.035608,0.03565,0.03536,0.035406,31062.142,1617983999999.0,1102.42547284,40475.0,15022.873,533.19486067,0.0
2021-04-09 11:31:07.564966312,2817,1617984000000.0,0.03541,0.035665,0.035284,0.035587,28462.201,1617998399999.0,1011.45304626,35881.0,14191.994,504.27434315,0.0
2021-04-09 15:31:13.339749760,2818,1617998400000.0,0.035587,0.035668,0.03547,0.035546,18962.684,1618012799999.0,674.43533594,27659.0,8875.762,315.68011242,0.0
2021-04-09 19:31:19.114533208,2819,1618012800000.0,0.035546,0.036568,0.035475,0.036201,44855.252,1618027199999.0,1611.18979623,51245.0,23202.777,833.65170733,0.0
2021-04-09 23:31:24.889316648,2820,1618027200000.0,0.036205,0.036285,0.035509,0.035764,64755.719,1618041599999.0,2319.46038765,71689.0,31836.111,1140.33681144,0.0
2021-04-10 03:31:30.664100096,2821,1618041600000.0,0.035761,0.035856,0.035533,0.035668,31312.889,1618055999999.0,1117.48452887,37458.0,16103.798,574.75939277,0.0
2021-04-10 07:31:36.438883544,2822,1618056000000.0,0.035669,0.03585,0.03556,0.035787,37122.459,1618070399999.0,1325.38418551,42722.0,18886.057,674.24969464,0.0
2021-04-10 11:31:42.213666992,2823,1618070400000.0,0.035788,0.035854,0.035575,0.035736,31771.365,1618084799999.0,1134.38997774,41495.0,15358.007,548.3811277,0.0
2021-04-10 15:31:47.988450432,2824,1618084800000.0,0.035732,0.035811,0.035543,0.035692,21092.89,1618099199999.0,753.25426351,34738.0,10321.3,368.59630671,0.0
2021-04-10 19:31:53.763233880,2825,1618099200000.0,0.035696,0.035718,0.035414,0.035583,22647.908,1618113599999.0,805.15357212,34406.0,10887.463,387.07763961,0.0
2021-04-10 23:31:59.538017328,2826,1618113600000.0,0.035584,0.035738,0.035471,0.035718,24290.073,1618127999999.0,864.84623233,34511.0,11434.737,407.16928741,0.0
2021-04-11 03:32:05.312800768,2827,1618128000000.0,0.035719,0.036062,0.035617,0.035956,28570.276,1618142399999.0,1024.81059429,38721.0,13674.959,490.37365046,0.0
2021-04-11 07:32:11.087584216,2828,1618142400000.0,0.035959,0.036078,0.035802,0.036022,26561.345,1618156799999.0,954.46380806,36884.0,12966.549,465.93427413,0.0
2021-04-11 11:32:16.862367664,2829,1618156800000.0,0.036022,0.036095,0.035823,0.035894,27091.233,1618171199999.0,973.84846572,41142.0,12570.756,451.90777604,0.0
2021-04-11 15:32:22.637151104,2830,1618171200000.0,0.035894,0.036001,0.03565,0.035854,23591.102,1618185599999.0,845.03961719,34333.0,11433.573,409.5162917,0.0
2021-04-11 19:32:28.411934552,2831,1618185600000.0,0.035854,0.03595,0.03558,0.035597,24913.871,1618199999999.0,891.40185875,29091.0,12259.469,438.6363722,0.0
2021-04-11 23:32:34.186718000,2832,1618200000000.0,0.035596,0.036011,0.035571,0.035928,42120.548,1618214399999.0,1508.13714129,44564.0,22020.728,788.26567913,0.0
2021-04-12 03:32:39.961501448,2833,1618214400000.0,0.035927,0.03609,0.035567,0.035684,40821.549,1618228799999.0,1462.86929869,50329.0,19982.44,716.17715321,0.0
2021-04-12 07:32:45.736284888,2834,1618228800000.0,0.035685,0.035712,0.035344,0.03537,35373.745,1618243199999.0,1259.78304422,44842.0,17553.986,625.23089145,0.0
2021-04-12 11:32:51.511068336,2835,1618243200000.0,0.035371,0.035676,0.035159,0.035653,32107.873,1618257599999.0,1139.54134379,43658.0,16421.288,582.89768249,0.0
2021-04-12 15:32:57.285851784,2836,1618257600000.0,0.035651,0.035842,0.035639,0.035714,24693.662,1618271999999.0,883.07718915,34064.0,12493.852,446.78772433,0.0
2021-04-12 19:33:03.060635224,2837,1618272000000.0,0.035714,0.035832,0.035538,0.03576,28265.432,1618286399999.0,1009.21151916,36132.0,14190.327,506.68557103,0.0
2021-04-12 23:33:08.835418672,2838,1618286400000.0,0.03576,0.035922,0.035402,0.03544,32203.483,1618300799999.0,1148.60561388,46533.0,16085.66,573.75047919,0.0
2021-04-13 03:33:14.610202120,2839,1618300800000.0,0.035443,0.0355,0.034883,0.035415,71885.524,1618315199999.0,2534.46286795,87293.0,35470.403,1250.60551254,0.0
2021-04-13 07:33:20.384985560,2840,1618315200000.0,0.035416,0.035974,0.035216,0.035935,55462.752,1618329599999.0,1974.18957323,65490.0,26687.678,949.43930346,0.0
2021-04-13 11:33:26.159769008,2841,1618329600000.0,0.035929,0.036603,0.035723,0.036463,71965.046,1618343999999.0,2607.33611301,89166.0,33701.75,1220.96091646,0.0
2021-04-13 15:33:31.934552456,2842,1618344000000.0,0.036468,0.036533,0.035981,0.036176,35099.658,1618358399999.0,1272.02880484,48425.0,17042.169,617.66098208,0.0
2021-04-13 19:33:37.709335904,2843,1618358400000.0,0.036175,0.036938,0.036082,0.036815,45686.093,1618372799999.0,1665.52311756,57285.0,21552.876,785.41063357,0.0
2021-04-13 23:33:43.484119344,2844,1618372800000.0,0.036815,0.037214,0.036728,0.036873,49256.315,1618387199999.0,1820.16093695,74275.0,24024.883,887.8259447,0.0
2021-04-14 03:33:49.258902792,2845,1618387200000.0,0.036872,0.037073,0.036549,0.037049,52709.225,1618401599999.0,1941.87033174,76964.0,24021.204,884.88866083,0.0
2021-04-14 07:33:55.033686240,2846,1618401600000.0,0.037049,0.037349,0.036676,0.03726,70345.272,1618415999999.0,2606.20487644,96553.0,25382.391,940.27901604,0.0
2021-04-14 11:34:00.808469680,2847,1618416000000.0,0.037262,0.037751,0.037184,0.037573,57062.807,1618430399999.0,2139.66384053,76657.0,28431.039,1066.37986997,0.0
2021-04-14 15:34:06.583253128,2848,1618430400000.0,0.037573,0.0389,0.037531,0.038635,64228.7,1618444799999.0,2467.71967598,88029.0,32413.259,1245.38135379,0.0
2021-04-14 19:34:12.358036576,2849,1618444800000.0,0.038635,0.039286,0.038335,0.039252,42255.347,1618459199999.0,1635.53554177,60140.0,20564.583,795.91524752,0.0
2021-04-14 23:34:18.132820024,2850,1618459200000.0,0.039258,0.039455,0.038856,0.039293,44280.925,1618473599999.0,1732.51158399,57920.0,22291.995,872.19200856,0.0
2021-04-15 03:34:23.907603464,2851,1618473600000.0,0.039292,0.039465,0.0387,0.03894,41684.052,1618487999999.0,1627.40262296,66357.0,21624.766,844.28158081,0.0
2021-04-15 07:34:29.682386912,2852,1618488000000.0,0.038945,0.039684,0.038796,0.039251,48383.583,1618502399999.0,1894.94449398,65550.0,27045.632,1059.53855763,0.0
2021-04-15 11:34:35.457170360,2853,1618502400000.0,0.03925,0.039469,0.038901,0.039106,45022.822,1618516799999.0,1764.70559663,63623.0,23806.322,933.08111186,0.0
2021-04-15 15:34:41.231953800,2854,1618516800000.0,0.039107,0.040177,0.039071,0.039795,75312.423,1618531199999.0,2986.90827928,91748.0,36012.05,1427.69361633,0.0
2021-04-15 19:34:47.006737248,2855,1618531200000.0,0.039795,0.040094,0.0395,0.039691,47708.066,1618545599999.0,1898.10662218,62500.0,22504.575,895.60692094,0.0
2021-04-15 23:34:52.781520696,2856,1618545600000.0,0.039692,0.039732,0.038842,0.039505,60427.574,1618559999999.0,2376.55966504,76551.0,27640.483,1086.45017908,0.0
2021-04-16 03:34:58.556304136,2857,1618560000000.0,0.039508,0.039978,0.038742,0.039158,55987.295,1618574399999.0,2201.36176548,85286.0,27263.827,1072.44426061,0.0
2021-04-16 07:35:04.331087584,2858,1618574400000.0,0.039158,0.039553,0.03805,0.039457,68542.934,1618588799999.0,2675.92151086,99270.0,36118.536,1409.33963726,0.0
2021-04-16 11:35:10.105871032,2859,1618588800000.0,0.039453,0.039526,0.039124,0.039371,41439.683,1618603199999.0,1630.01724983,66465.0,20816.911,818.68478659,0.0
2021-04-16 15:35:15.880654480,2860,1618603200000.0,0.039376,0.039781,0.039296,0.039491,29711.094,1618617599999.0,1173.90961274,55869.0,14096.495,556.91290697,0.0
